timestamp,priority,prompt_tokens_estimated,output_tokens_estimated,total_estimated,prompt_tokens_actual,completion_tokens_actual,total_actual,signed_error,relative_error_pct
2026-09-11T10:46:11.872173+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:13.154864+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:19.048277+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:21.282145+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:27.040958+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:29.610949+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:35.255784+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:36.836417+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:43.162833+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:45.216120+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:49.736045+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:46:49.744066+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:46:51.188146+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:53.061250+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:46:57.550793+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:00.191932+00:00,legitimate,8,30,38,7,28,35,-3,-7.89
2026-09-11T10:47:04.767801+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:08.695716+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:12.744721+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:16.679733+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:20.714718+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:25.054294+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:29.221899+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:32.598969+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:33.986880+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:47:33.994910+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:47:36.829612+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:41.008896+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:45.261123+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:48.702657+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:52.896887+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:47:56.787565+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:48:01.067950+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:48:05.021218+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:48:08.912727+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:48:16.104142+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:48:16.112428+00:00,default,6,200,206,5,200,205,-1,-0.49
