timestamp,priority,prompt_tokens_estimated,output_tokens_estimated,total_estimated,prompt_tokens_actual,completion_tokens_actual,total_actual,signed_error,relative_error_pct
2026-09-11T10:41:40.807438+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:41:42.522919+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:41:47.938094+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:41:49.718257+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:41:55.527286+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:41:57.672237+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:04.005281+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:06.170075+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:12.165301+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:14.392159+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:18.309462+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:42:18.317915+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:42:20.126499+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:22.110083+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:28.769415+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:30.244155+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:35.713183+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:42:37.475349+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:43:15.800373+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:43:15.807334+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
