timestamp,priority,prompt_tokens_estimated,output_tokens_estimated,total_estimated,prompt_tokens_actual,completion_tokens_actual,total_actual,signed_error,relative_error_pct
2026-09-11T09:58:55.522858+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:58:57.822963+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:58:59.688647+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:03.878700+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:05.608700+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:07.758742+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:11.576770+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:13.305891+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:15.642758+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:19.495103+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:21.284485+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:23.192802+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:27.242900+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:29.539795+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:31.564235+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T09:59:31.568691+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:34.992900+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:36.992773+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:39.138365+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:41.528791+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:43.918653+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:47.762793+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:49.631182+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:51.598434+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:55.752753+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:57.571599+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T09:59:59.968436+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:03.984681+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:05.470184+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:08.038649+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:11.722763+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:13.504389+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:14.746131+00:00,default,6,200,206,5,200,205,-1,-0.49
2026-09-11T10:00:15.683571+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:19.582467+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:21.108909+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:23.092358+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:27.272692+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:29.708272+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:31.668548+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:35.492527+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:38.078933+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:40.508283+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:43.922351+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:45.938603+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:47.810450+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:51.252343+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:53.692414+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:55.002612+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T10:00:56.122334+00:00,default,6,200,206,5,200,205,-1,-0.49
