timestamp,priority,prompt_tokens_estimated,output_tokens_estimated,total_estimated,prompt_tokens_actual,completion_tokens_actual,total_actual,signed_error,relative_error_pct
2026-09-11T11:06:14.164228+00:00,legitimate,1,3,4,1,3,4,0,0.00
2026-09-11T11:06:42.123878+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:06:45.758602+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:06:50.479293+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:06:54.910440+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:06:57.256575+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:06:59.276012+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:01.110361+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:03.300008+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:05.060442+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:06.429161+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:08.189595+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:10.350800+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:12.539797+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:14.699469+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:16.228971+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:17.390782+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T11:07:18.100073+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
