timestamp,priority,prompt_tokens_estimated,output_tokens_estimated,total_estimated,prompt_tokens_actual,completion_tokens_actual,total_actual,signed_error,relative_error_pct
2026-09-11T12:27:19.565119+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:27:19.574758+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:27:21.278184+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:27:26.756037+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:27:26.762305+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:07.228931+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:12.364955+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:15.033748+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:19.057474+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:23.416369+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:27.071350+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:31.357047+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:35.219131+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:39.005946+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:43.400379+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:47.368098+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:51.224068+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:55.323136+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:28:59.156157+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:29:03.311424+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:29:07.387128+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:29:11.255295+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
2026-09-11T12:29:15.442539+00:00,legitimate,8,30,38,7,30,37,-1,-2.63
